commentId,videoId,authorChannelId,likeCount,publishedAt
z12ivbgqssbvgl2ro04chtdhksqjjv5hsm40k,Wpzvaqypav8,UCg_tLXUtoFioszmAyQs1gKg,0,14/03/2017 10:55:01
z13wgr2x0ou2txzby04ciltj2pnkctbpnbk,Wpzvaqypav8,UCN14oGgmiREaj_NQVwHxZyg,0,10/03/2017 23:51:45
z12wzft4cxugjzfow04cfziaimbvfxlp2d4,2sWRXr2Yu9g,UCS8IcR72ABf7yGIxMr2XR9A,0,14/03/2017 14:46:51
z12qvn4olxiowdd5o04cjvf5xnmtzxygz44,2sWRXr2Yu9g,UC5u4ZHMXWwD-NxVlgwBm_pw,0,10/03/2017 13:05:49
z12yub3zfqikjto3r23zfzuxaremwp1dl,fNS4lecOaAc,UC_NCTJinXuDTkBJ8TBMyFbg,0,14/03/2017 10:16:23
z12ow5khuum2gtrg004cfpdqdqnqvzbxwwc0k,fNS4lecOaAc,UCGDGsOgrQVMzNIZzsUrqTTQ,0,13/03/2017 23:59:24
z12ezvbgyvybv34my23tsxggnwzbu3yv4,o5E7cG54VoA,UC-HNhFFoqFmRWE-h3dtD4QQ,0,21/02/2017 11:07:59
z12nvb05uk24e3e3g234g3lzmwnevtrmj,o5E7cG54VoA,UCFqwMiYQkbonFi5CEJVg0Fg,0,21/01/2017 07:20:00
z13ogvgrpzvetjtko22nextqsuyasv5ou04,DgOgdGpWqzQ,UCg6zJurUl2-eBiFbEvKnUEA,0,26/02/2017 03:30:02
z12zujki0zjievmo204cizpygvumdtfjfik,DgOgdGpWqzQ,UCd0cHjpRYrQO_2Jrl9d6hPg,0,26/12/2016 13:16:29
z12nz3potmepwtzrk04cgztojk2gshrij50,GjatG8QFoOk,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:21:31
z13iyd1pxwzjt3mrd04ch3g50vuzirggg20,GjatG8QFoOk,UCJWm0w3aqImknK2DTL20jIg,0,05/03/2017 19:33:33
z125xhwqjnn1whakh23sxnnytreuu5d21,ACwenVzN2oU,UCcbXlMhj6MvDJZXO5-EcWIg,0,12/03/2017 22:24:40
z12hxnnzvyzow1idw23sxj45hnifypzkq,ACwenVzN2oU,UCZSElFi1zWG-8p7z5MS4fcg,0,10/03/2017 05:54:22
z12qzrtwztnaghn2b23byh3w0na3hvntc,CQ2noSR1qdY,UCv9xYDIsEQG18F-zfSSVJNg,0,14/03/2017 05:24:33
